CATEGORIES,COLOR,Sum of MAX,METRIC,TEAM,TOURNAMENT,URL LOGO,Sum of VALUE
ATTACK,#00CF00,100,"CENTRAL ATTACK WITH SHOTS, %",Uruguay,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/pvtmslhT-WdZ4jMrq.png,17.54
ATTACK,#00CF00,100,CHANCES CREATED,Algeria,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/A9ccQtU0-YFbDUeTh.png,5
ATTACK,#00CF00,100,CHANCES CREATED,Belgium,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/AqUnTDAN-dtrVaP64.png,10
ATTACK,#00CF00,100,CHANCES CREATED,Cabo Verde,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/vRSce5lC-GvK8wiCN.png,2
ATTACK,#00CF00,100,CHANCES CREATED,Canada,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/0U0WjVkl-EqLGVN18.png,8.67
ATTACK,#00CF00,100,CHANCES CREATED,Colombia,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/Y70aXOTH-C6kVdO5F.png,4.5
ATTACK,#00CF00,100,CHANCES CREATED,Ecuador,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/nun1o8jC-IPF97VQ3.png,7.33
ATTACK,#00CF00,100,CHANCES CREATED,Egypt,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/SKagcEU0-tY1cOGyQ.png,5.67
ATTACK,#00CF00,100,CHANCES CREATED,Panama,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/WYjftaA6-6yXdouA1.png,3
ATTACK,#00CF00,100,CHANCES CREATED,Senegal,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xORbTVT0-lQcLqf4g.png,8.33
ATTACK,#00CF00,100,CHANCES CREATED,Turkey,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/OIr3e18k-Cfuwb3yH.png,8.67
ATTACK,#00CF00,100,CHANCES CREATED,United States,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xfxMId8k-MPdHoKT3.png,9.33
ATTACK,#00CF00,100,CHANCES CREATED,Uruguay,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/pvtmslhT-WdZ4jMrq.png,6.67
ATTACK,#00CF00,100,"CHANCES SUCCESSFUL, %",Algeria,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/A9ccQtU0-YFbDUeTh.png,20
ATTACK,#00CF00,100,"CHANCES SUCCESSFUL, %",Belgium,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/AqUnTDAN-dtrVaP64.png,20
ATTACK,#00CF00,100,"CHANCES SUCCESSFUL, %",Cabo Verde,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/vRSce5lC-GvK8wiCN.png,33.33
ATTACK,#00CF00,100,"CHANCES SUCCESSFUL, %",Canada,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/0U0WjVkl-EqLGVN18.png,30.769999999999996
ATTACK,#00CF00,100,"CHANCES SUCCESSFUL, %",Colombia,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/Y70aXOTH-C6kVdO5F.png,44.440000000000005
ATTACK,#00CF00,100,"CHANCES SUCCESSFUL, %",Ecuador,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/nun1o8jC-IPF97VQ3.png,9.09
ATTACK,#00CF00,100,"CHANCES SUCCESSFUL, %",Egypt,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/SKagcEU0-tY1cOGyQ.png,29.409999999999997
ATTACK,#00CF00,100,"CHANCES SUCCESSFUL, %",Panama,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/WYjftaA6-6yXdouA1.png,0
ATTACK,#00CF00,100,"CHANCES SUCCESSFUL, %",Senegal,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xORbTVT0-lQcLqf4g.png,32
ATTACK,#00CF00,100,"CHANCES SUCCESSFUL, %",Turkey,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/OIr3e18k-Cfuwb3yH.png,11.540000000000001
ATTACK,#00CF00,100,"CHANCES SUCCESSFUL, %",United States,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xfxMId8k-MPdHoKT3.png,28.57
ATTACK,#00CF00,100,"CHANCES SUCCESSFUL, %",Uruguay,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/pvtmslhT-WdZ4jMrq.png,15
ATTACK,#00CF00,100,"COUNTERATTACKS WITH SHOTS, %",Algeria,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/A9ccQtU0-YFbDUeTh.png,0
ATTACK,#00CF00,100,"COUNTERATTACKS WITH SHOTS, %",Belgium,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/AqUnTDAN-dtrVaP64.png,21.21
ATTACK,#00CF00,100,"COUNTERATTACKS WITH SHOTS, %",Cabo Verde,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/vRSce5lC-GvK8wiCN.png,23.53
ATTACK,#00CF00,100,"COUNTERATTACKS WITH SHOTS, %",Canada,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/0U0WjVkl-EqLGVN18.png,15.620000000000001
ATTACK,#00CF00,100,"COUNTERATTACKS WITH SHOTS, %",Colombia,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/Y70aXOTH-C6kVdO5F.png,18.18
